Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Jun,1,Mazda,Rural,Jun,2,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,5 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
Jun,2,Pontiac,Urban,Jun,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Jun,1,Honda,Urban,Jun,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,more than 4,6 years,31 to 35,Yes,3 to 5,1 vehicle,Collision,No
Jun,3,Honda,Rural,Jun,4,Female,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,3 years,31 to 35,No,none,1 vehicle,Liability,No
Jun,5,Toyota,Urban,Aug,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Jun,5,Honda,Urban,Jul,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
Mar,1,Toyota,Urban,Mar,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
Mar,1,Toyota,Urban,Mar,2,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Mar,1,Honda,Rural,Mar,2,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Mar,1,Pontiac,Urban,Mar,3,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",15 to 30,more than 30,1,5 years,31 to 35,No,none,1 vehicle,All Perils,No
Mar,4,Mazda,Urban,Apr,3,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,1 to 2,1 vehicle,Collision,No
Mar,4,Honda,Urban,Mar,5,Male,Single,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Mar,4,Dodge,Urban,Apr,1,Male,Single,32,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Mar,3,Honda,Urban,Apr,1,Female,Single,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,5 years,31 to 35,No,none,1 vehicle,All Perils,No
Mar,4,Pontiac,Urban,Mar,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
May,4,Pontiac,Urban,Jun,1,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,more than 5,1 vehicle,Collision,No
May,2,Chevrolet,Urban,May,2,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
May,2,Pontiac,Urban,May,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,3 to 5,1 vehicle,Collision,Yes
May,1,Pontiac,Rural,May,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
May,5,Mazda,Urban,Jun,1,Male,Married,32,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
May,1,Toyota,Urban,May,1,Female,Married,32,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Liability,No
May,5,Mazda,Urban,Jun,3,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,All Perils,No
May,2,Mazda,Urban,May,3,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,All Perils,No
May,1,Pontiac,Urban,May,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,No
May,3,Pontiac,Urban,Jun,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
May,3,Pontiac,Urban,Jun,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,none,1 vehicle,Liability,No
May,5,Mazda,Urban,Jun,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Liability,No
May,5,Honda,Urban,May,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,new,31 to 35,No,none,1 vehicle,Liability,No
May,5,Dodge,Urban,May,5,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,none,1 vehicle,Liability,No
May,1,Pontiac,Urban,May,2,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,none,5 years,31 to 35,No,none,1 vehicle,Collision,Yes
May,2,Chevrolet,Urban,Jul,2,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,Yes
May,3,Chevrolet,Urban,May,4,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,Yes
May,2,Pontiac,Rural,Jun,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,more than 5,1 vehicle,Liability,No
May,5,Honda,Urban,Jun,1,Male,Single,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
May,1,Pontiac,Urban,May,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,5 years,31 to 35,No,none,1 vehicle,Liability,No
May,1,Pontiac,Urban,May,1,Female,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,4 years,31 to 35,No,none,1 vehicle,Liability,No
May,4,Chevrolet,Rural,Jun,1,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
May,4,Chevrolet,Urban,Jun,2,Female,Single,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Nov,3,Chevrolet,Urban,Dec,4,Female,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Nov,2,Ford,Urban,Nov,3,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,5 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Nov,2,Pontiac,Urban,Nov,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Nov,3,Toyota,Urban,Dec,1,Female,Married,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,5 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Nov,2,Toyota,Urban,Nov,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Nov,2,Pontiac,Urban,Dec,2,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Nov,3,Mazda,Urban,Nov,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,1 to 2,1 vehicle,Collision,No
Nov,4,Toyota,Urban,Dec,1,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,none,1 vehicle,Liability,No
Nov,3,Ford,Urban,Nov,3,Male,Single,32,Third Party,Sedan - Collision,Sedan,"60,000 to 69,000",more than 30,more than 30,none,5 years,31 to 35,No,none,1 vehicle,Collision,No
Oct,2,Chevrolet,Rural,Oct,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Oct,2,Honda,Urban,Dec,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,3 to 4,Collision,No
Oct,2,Mazda,Urban,Oct,4,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,1,6 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Oct,2,Mazda,Urban,Oct,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
Oct,4,Honda,Urban,Nov,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Oct,3,Toyota,Urban,Oct,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,none,1 vehicle,Collision,No
Oct,3,Pontiac,Urban,Oct,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Liability,Yes
Oct,1,Chevrolet,Urban,Oct,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Oct,2,Mazda,Urban,Nov,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,5 years,31 to 35,No,none,1 vehicle,Collision,No
Oct,5,VW,Urban,Nov,4,Male,Single,32,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Oct,2,Toyota,Urban,Oct,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,1 to 2,1 vehicle,Collision,No
Oct,1,Toyota,Rural,Oct,1,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Oct,2,Toyota,Urban,Oct,2,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Oct,2,Honda,Urban,Nov,5,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Sep,2,Honda,Urban,Sep,3,Female,Married,32,Policy Holder,Sport - Collision,Sport,"more than 69,000",8 to 15,8 to 15,none,2 years,31 to 35,No,none,1 vehicle,Collision,No
Sep,1,Saab,Urban,Sep,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Sep,5,Pontiac,Urban,Sep,5,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Sep,2,Honda,Urban,Sep,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,Yes
Sep,1,Mazda,Urban,Sep,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
Sep,2,Mazda,Urban,Sep,4,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
Sep,4,Chevrolet,Urban,Sep,5,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Sep,4,Chevrolet,Urban,Sep,4,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,3 years,31 to 35,Yes,none,1 vehicle,Collision,No
Sep,1,Pontiac,Urban,Sep,1,Female,Single,32,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,5 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Apr,5,Toyota,Urban,May,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Apr,4,Toyota,Urban,Apr,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
Apr,1,Pontiac,Urban,Sep,3,Male,Married,32,Policy Holder,Utility - All Perils,Utility,"40,000 to 59,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Apr,4,Honda,Urban,May,1,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
Apr,5,Honda,Urban,May,1,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Apr,4,Pontiac,Rural,Apr,4,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Apr,2,Pontiac,Urban,Apr,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Apr,2,Toyota,Urban,Apr,3,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Apr,1,Toyota,Urban,Apr,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Apr,4,Toyota,Urban,Apr,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Apr,4,Mazda,Urban,Apr,4,Male,Single,32,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,5 years,31 to 35,No,none,1 vehicle,Liability,No
Apr,4,Mazda,Urban,May,1,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Aug,2,Pontiac,Rural,Jan,2,Male,Married,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,Collision,No
Aug,4,Pontiac,Urban,Feb,2,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,3 to 4,Liability,No
Aug,3,Mazda,Urban,Aug,3,Female,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Aug,5,Honda,Urban,Sep,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
Aug,1,Toyota,Urban,Aug,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,none,1 vehicle,Liability,No
Aug,4,Honda,Urban,Aug,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,Collision,No
Aug,3,Honda,Urban,Aug,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Aug,4,Honda,Urban,Aug,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,none,1 vehicle,Collision,No
Aug,1,Dodge,Urban,Aug,1,Female,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Aug,1,Pontiac,Urban,Aug,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,1 to 2,1 vehicle,Collision,No
Dec,3,Pontiac,Urban,Dec,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,none,1 vehicle,Collision,No
Dec,5,Pontiac,Urban,Jan,1,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,Collision,No
Dec,2,Honda,Urban,Dec,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,Liability,No
Dec,4,Saab,Rural,Dec,4,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,6 years,31 to 35,No,none,3 to 4,All Perils,No
Dec,1,Toyota,Urban,Dec,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Dec,5,Pontiac,Rural,Jan,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,Yes
Dec,5,Ford,Urban,Jan,1,Male,Married,32,Third Party,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Collision,No
Dec,1,Honda,Urban,Dec,2,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Dec,2,Mazda,Urban,Dec,2,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Dec,1,Honda,Urban,Dec,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,Collision,No
Dec,4,Chevrolet,Urban,Jan,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,5 years,31 to 35,No,none,1 vehicle,Liability,No
Dec,4,Toyota,Urban,Dec,4,Female,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,3 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Dec,4,Dodge,Urban,Dec,4,Female,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,Collision,No
Dec,4,Chevrolet,Urban,Dec,4,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,1 to 2,1 vehicle,Collision,No
Dec,3,Accura,Urban,Dec,3,Female,Single,32,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,3 to 5,1 vehicle,Liability,No
Dec,1,Chevrolet,Urban,Dec,3,Male,Single,32,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Dec,1,Pontiac,Urban,Dec,1,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Feb,4,Mazda,Urban,Mar,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Feb,1,Chevrolet,Urban,Feb,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Feb,2,Pontiac,Urban,Feb,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,All Perils,No
Feb,2,Toyota,Urban,Nov,5,Female,Married,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Feb,1,Toyota,Urban,Feb,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,3 to 4,All Perils,No
Feb,1,Pontiac,Urban,Feb,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Feb,1,Chevrolet,Rural,Apr,2,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Feb,4,Ford,Urban,Feb,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Feb,3,Toyota,Urban,Feb,3,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,5 years,31 to 35,No,none,1 vehicle,All Perils,No
Feb,1,Mazda,Rural,Feb,2,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Feb,1,Pontiac,Urban,Feb,3,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,Yes
Feb,2,Toyota,Urban,Feb,2,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,6 years,31 to 35,No,1 to 2,1 vehicle,All Perils,Yes
Feb,1,Honda,Urban,Feb,1,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Feb,4,Pontiac,Urban,Mar,1,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,6 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Jan,1,Toyota,Urban,Jan,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,6 years,31 to 35,No,3 to 5,1 vehicle,All Perils,No
Jan,2,Pontiac,Urban,Jan,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Jan,4,Chevrolet,Urban,Jan,5,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,No
Jan,4,Mazda,Urban,Jan,4,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Jan,2,Pontiac,Urban,Jan,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,more than 4,6 years,31 to 35,No,more than 5,1 vehicle,Collision,Yes
Jan,2,Chevrolet,Urban,Jan,3,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Jan,4,Toyota,Urban,Feb,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,1 to 2,1 vehicle,Collision,Yes
Jan,5,Pontiac,Urban,Feb,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,more than 5,1 vehicle,Liability,No
Jan,1,Chevrolet,Urban,Feb,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,31 to 35,No,none,1 vehicle,Collision,No
Jan,3,Toyota,Urban,Jan,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
Jan,3,Honda,Urban,Jan,4,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
